tier,company_name,trade,ownership_type,county,city,zip,address,phone,website,google_rating,google_reviews,services,license_types,license_numbers,status,notes,match_source,google_place_id,google_url,ownership_confidence,parent_company_or_notes,active_license_count
A — Family + phone + priority county,ACREE PLUMBING AIR & ELECTRIC,Plumbing + HVAC,Family-Owned,Lee,Bonita Springs,34134,"27751  Marina Pointe Drive, Bonita Springs, FL, 34134",(813) 324-1661,trustacree.com,4.6,10873,"HVAC contractor, Air conditioning contractor, Air conditioning repair service, Air duct cleaning service, Electrician, Furnace repair service, Gasfitter, Heating contractor","CAC, CFC",CAC050424; CAC1819746; CFC1430228,new,,companies.json (exact_name),ChIJMfXYS1vPwogRBpvbjD8oyC8,https://www.google.com/maps/search/?api=1&query=Acree%20Plumbing%2C%20Air%20%26%20Electric&query_place_id=ChIJMfXYS1vPwogRBpvbjD8oyC8,Pattern match,"Acree Plumbing, Air & Electric — long-standing Florida family brand",3
A — Family + phone + priority county,AZTEC PLUMBING INC,Plumbing,Family-Owned,Lee,Cape Coral,33991,"11922 Prince Charles Ct., Cape Coral, FL, 33991",(239) 666-3900,www.aztecplumbing.net/service-area/fort-myers-fl,4.8,5997,Plumber,CFC,CFC1427446,new,,companies.json (exact_name),ChIJnbbaGFg_24gRFuZPyhGtm8c,https://www.google.com/maps/search/?api=1&query=Aztec%20Plumbing%2C%20Inc&query_place_id=ChIJnbbaGFg_24gRFuZPyhGtm8c,Pattern match,Aztec Plumbing — long-standing Tampa Bay independent,1
A — Family + phone + priority county,MOEN BROTHERS PLUMBING & DRAIN LLC,Plumbing,Family-Owned,Collier,Naples,34110,"16265  Aberdeen Way, Naples, FL, 34110",(239) 567-9933,www.moenbrothers.com,4.9,706,Plumber,CFC,CFC1428497,new,,companies.json (exact_name),ChIJmwlarzAU24gRQ55NjNf_UvU,https://www.google.com/maps/search/?api=1&query=Moen%20Brothers%20Plumbing%20%26%20Drain%20LLC&query_place_id=ChIJmwlarzAU24gRQ55NjNf_UvU,Pattern match,Name/marketing indicates family ownership,1
A — Family + phone + priority county,JOHNSON & SONS PLUMBING LLC,Plumbing,Family-Owned,Sarasota,Sarasota,34235,"1770 White Orchid Court, Sarasota, FL, 34235",(941) 879-6430,johnsonandsonsplumbingllc.com,4.9,56,"Plumber, Drainage service, Water softening equipment supplier",CFC,CFC1432439,new,,companies.json (fuzzy_1.00),ChIJi02BmHF_TygR7pSqQnwiYOI,https://www.google.com/maps/search/?api=1&query=Johnson%20and%20Sons%20Plumbing&query_place_id=ChIJi02BmHF_TygR7pSqQnwiYOI,Pattern match,Name/marketing indicates family ownership,1
A — Family + phone + priority county,"PICARD & SONS PLUMBING, LLC",Plumbing,Family-Owned,Manatee,Bradenton,34209,"8403 14Th Ave Nw, Bradenton, FL, 34209",(941) 773-1039,picardandsonsplumbing.com/contact/4473272,4.6,25,Plumber,CFC,CFC1429324,new,,companies.json (exact_name),ChIJAQBQDDMXw4gR37woR9MraUw,https://www.google.com/maps/search/?api=1&query=picard%20%26%20sons%20plumbing&query_place_id=ChIJAQBQDDMXw4gR37woR9MraUw,Pattern match,Name/marketing indicates family ownership,1
B — Phone + priority county,"COOL AIR TODAY, INC.",HVAC,Independent / Likely Family-Owned (unverified),Collier,Naples,34119,"3327 Pacific Dr, Naples, FL, 34119",(941) 202-3751,www.cooltoday.com,4.8,13260,"Plumber, Air conditioning repair service, Electrician, Heating contractor, HVAC contractor, Insulation contractor, Air conditioning contractor",CAC,CAC1819836,new,,companies.json (exact_name),ChIJlfbpslJBw4gRuyu3cBKZcuw,https://www.google.com/maps/search/?api=1&query=Cool%20Today%20-%20Cooling%2C%20Plumbing%2C%20Electrical&query_place_id=ChIJlfbpslJBw4gRuyu3cBKZcuw,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
B — Phone + priority county,ELITE ELECTRIC & AIR,HVAC,Independent / Likely Family-Owned (unverified),Broward,Coral Springs,33065,"9981 Nw 23Rd Ct, Coral Springs, FL, 33065",(772) 356-1735,www.eliteelectricandair.com,4.8,5150,"HVAC contractor, Air conditioning contractor, Air conditioning repair service, Electrician, Heating contractor, Plumber",CAC,CAC1821868,new,,companies.json (exact_name),ChIJwQ8-MODr3ogR8xpN_c9enSA,https://www.google.com/maps/search/?api=1&query=Elite%20Electric%2C%20Plumbing%20%26%20Air&query_place_id=ChIJwQ8-MODr3ogR8xpN_c9enSA,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
B — Phone + priority county,ELITE HEATING & AIR,HVAC,Independent / Likely Family-Owned (unverified),Manatee,Bradenton,34202,"8418 Broadstone Ct, Bradenton, FL, 34202",(772) 356-1735,www.eliteelectricandair.com,4.8,5150,"HVAC contractor, Air conditioning contractor, Air conditioning repair service, Electrician, Heating contractor, Plumber",CAC,CAC058339,new,,companies.json (exact_name),ChIJwQ8-MODr3ogR8xpN_c9enSA,https://www.google.com/maps/search/?api=1&query=Elite%20Electric%2C%20Plumbing%20%26%20Air&query_place_id=ChIJwQ8-MODr3ogR8xpN_c9enSA,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
B — Phone + priority county,"AIR FRIENDS, LLC",HVAC,Independent / Likely Family-Owned (unverified),Broward,N Lauderdale,33068,"701 Sw 79Th Ave, N Lauderdale, FL, 33068",(727) 314-5763,friendsplumbing.com,4.9,3437,Plumber,CAC,CAC1819374,new,,companies.json (exact_name),ChIJRQvM6kbswogRchv54onsSlw,https://www.google.com/maps/search/?api=1&query=Friends%20Plumbing&query_place_id=ChIJRQvM6kbswogRchv54onsSlw,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
B — Phone + priority county,AIR HEATING & COOLING LLC,HVAC,Independent / Likely Family-Owned (unverified),Lee,Fort Myers,33966,"6532 Fairview Street, Fort Myers, FL, 33966",(850) 805-6455,www.andservices.com/locations/fort-walton-beach,4.7,2928,"HVAC contractor, Air conditioning contractor, Air conditioning repair service, Heating contractor, Plumber",CAC,CAC1817198,new,,companies.json (exact_name),ChIJeWJsLR0_kYgREWWHbLfyfCE,https://www.google.com/maps/search/?api=1&query=AND%20Services%20Air%20Conditioning%2C%20Heating%20%26%20Plumbing&query_place_id=ChIJeWJsLR0_kYgREWWHbLfyfCE,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
B — Phone + priority county,FLORIDA HEATING & AIR INC,HVAC,Independent / Likely Family-Owned (unverified),Duval,Jacksonville,32258,"13720 Old St. Augustine Rd Suite 8-189, Jacksonville, FL, 32258",(850) 805-6455,www.andservices.com/locations/fort-walton-beach,4.7,2928,"HVAC contractor, Air conditioning contractor, Air conditioning repair service, Heating contractor, Plumber",CAC,CAC1819817,new,,companies.json (exact_name),ChIJeWJsLR0_kYgREWWHbLfyfCE,https://www.google.com/maps/search/?api=1&query=AND%20Services%20Air%20Conditioning%2C%20Heating%20%26%20Plumbing&query_place_id=ChIJeWJsLR0_kYgREWWHbLfyfCE,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
B — Phone + priority county,"SNYDER AIR CONDITIONING, PLUMBING & ELECTRIC, LLC",Plumbing + HVAC,Independent / Likely Family-Owned (unverified),Duval,Jacksonville,32216,"1265  Sw 4Th Ct, Boca Raton, FL, 33432",(772) 200-3923,snyderac.com/south-florida/port-st-lucie,4.9,2813,"Air conditioning contractor, Air conditioning repair service, Air duct cleaning service, Drainage service, Electrical installation service, Electrician, HVAC contractor, Plumber","CAC, CFC",CAC1815743; CAC1822714; CFC1432367; CFC1432544,new,,companies.json (exact_name),ChIJrZeZCmHs3ogRsn9mFljvCpM,https://www.google.com/maps/search/?api=1&query=Snyder%20Air%20Conditioning%2C%20Plumbing%20%26%20Electric&query_place_id=ChIJrZeZCmHs3ogRsn9mFljvCpM,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,4
B — Phone + priority county,ALVAREZ HEATING & COOLING CORP,HVAC,Independent / Likely Family-Owned (unverified),Lee,Cape Coral,33909,"1714 Ne 2Nd Ave, Cape Coral, FL, 33909",(813) 213-0533,www.alvarezplumbing.com,4.8,2576,"Plumber, Air conditioning repair service, Air duct cleaning service, Heating contractor, HVAC contractor",CAC,CAC1824334,new,,companies.json (exact_name),ChIJf6GVqWjFwogREBGlPATEeUc,https://www.google.com/maps/search/?api=1&query=Alvarez%20Plumbing%20%26%20Air%20Conditioning&query_place_id=ChIJf6GVqWjFwogREBGlPATEeUc,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
B — Phone + priority county,FARRELL AIR CONDITIONING INC.,HVAC,Independent / Likely Family-Owned (unverified),Pasco,Port Richey,34668,"6835 Commerce Ave, Port Richey, FL, 34668",(727) 607-6953,gofarrellplumbing.com,4.9,2276,Plumber,CAC,CAC1818177,new,,companies.json (exact_name),ChIJ3dJ6s3qQwogRhKRQ8siUkB0,https://www.google.com/maps/search/?api=1&query=Farrell%20Plumbing&query_place_id=ChIJ3dJ6s3qQwogRhKRQ8siUkB0,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
B — Phone + priority county,FARRELL PLUMBING INC.,Plumbing,Independent / Likely Family-Owned (unverified),Pasco,Port Richey,34668,"6835 Commerce Ave, Port Richey, FL, 34668",(727) 607-6953,gofarrellplumbing.com,4.9,2276,Plumber,CFC,CFC1430362,new,,companies.json (exact_name),ChIJ3dJ6s3qQwogRhKRQ8siUkB0,https://www.google.com/maps/search/?api=1&query=Farrell%20Plumbing&query_place_id=ChIJ3dJ6s3qQwogRhKRQ8siUkB0,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
B — Phone + priority county,FLOW PROS LLC,Plumbing,Independent / Likely Family-Owned (unverified),Pinellas,St. Petersburg,33704,"635 37Th Ave Ne, St. Petersburg, FL, 33704",(727) 265-9639,www.flowprosllc.com,4.9,2225,"Plumber, Drainage service, Hot water system supplier, Septic system service, Water filter supplier, Water pump supplier, Water softening equipment supplier, Water treatment supplier",CFC,CFC1433820,new,,companies.json (exact_name),ChIJHcGNemznwogR5sWnhLUTC5s,https://www.google.com/maps/search/?api=1&query=Flow%20Pros%20Plumbing&query_place_id=ChIJHcGNemznwogR5sWnhLUTC5s,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
