date,company_name,phone,county,channel,result,follow_up_date,notes
,"FIRST CHOICE PLUS PLUMBING & AIR, LLC",(772) 275-3760,St. Lucie,phone,,,
,DOM BELLA PLUMBING LLC,(772) 202-0944,St. Lucie,phone,,,
,REEL PLUMBING INCORPORATED INC,(772) 621-8282,St. Lucie,phone,,,
,GENESIS PLUMBING SERVICES INC,(772) 337-3682,St. Lucie,phone,,,
,DYLEWSKI PLUMBING INC,(772) 283-8640,Martin,phone,,,
,TRADEMARK PLUMBING LLC,(772) 292-7687,St. Lucie,phone,,,
,BRIAN HOLLINGER PLUMBING,(561) 502-0592,Palm Beach,phone,,,
,THE PLUMBING WORKS INC.,(772) 336-7272,St. Lucie,phone,,,
,SWIFTLINE PLUMBING LLC,(772) 359-0005,St. Lucie,phone,,,
,THE PLUMBING COMPANY OF THE TREASURE COAST INC,(772) 223-8688,Martin,phone,,,
,FITZPATRICK PLUMBING INC,(772) 464-5115,St. Lucie,phone,,,
,AQUA DIMENSIONS PLUMBING SERVICES INC,(772) 344-8433,Martin,phone,,,
,TRADITION PLUMBING SERVICES LLC,(772) 877-1258,St. Lucie,phone,,,
,"TRADITION PLUMBING, LLC",(772) 877-1258,St. Lucie,phone,,,
,"G PLUMBING, INC",(772) 410-7346,St. Lucie,phone,,,
,PEERLESS PLUMBING AND DRAIN SERVICES INCORPORATED,(772) 223-1356,St. Lucie,phone,,,
,SOUTHPAW PLUMBING AND METERING SERVICES LLC,(772) 486-0914,St. Lucie,phone,,,
,BENJAMIN DREW'S PLUMBING & DRAIN SERVICES INC,(772) 877-2962,St. Lucie,phone,,,
,PORT ST LUCIE PLUMBING INC,(772) 468-6524,St. Lucie,phone,,,
,DRIP STOP PLUMBING LLC,(772) 722-0051,St. Lucie,phone,,,
,"BLUEWATER PLUMBING OF THE TREASURE COAST, LLC",(772) 301-9338,St. Lucie,phone,,,
,SEE-RAY PLUMBING INC,(772) 494-7199,St. Lucie,phone,,,
,"ABOUT PLUMBING, LLC",(772) 607-4463,St. Lucie,phone,,,
,AMERI-TECH PLUMBING INC,(772) 879-0754,Martin,phone,,,
,JOE HILLMAN PLUMBERS INC,(954) 283-5468,Broward,phone,,,
,FLORIDA PLUMBING & SOLAR LLC,(772) 323-4777,St. Lucie,phone,,,
,PALM CITY PLUMBING INC.,(772) 382-9590,Martin,phone,,,
,DOUBLE D'S PLUMBING EXPERTISE LLC,(772) 348-0025,St. Lucie,phone,,,
,DATTILE PLUMBING,(561) 793-7484,Palm Beach,phone,,,
,FREE FLOW PLUMBING & DESIGN INC,(772) 879-7277,St. Lucie,phone,,,
,"REGAL PLUMBING, LLC",(772) 292-5518,St. Lucie,phone,,,
,STONE PLUMBING,(772) 444-6981,Martin,phone,,,
,CROSSTOWN PLUMBING SOLUTIONS LLC,(772) 284-2227,St. Lucie,phone,,,
,AZTEC PLUMBING INC,(239) 666-3900,Lee,phone,,,
,MOEN BROTHERS PLUMBING & DRAIN LLC,(239) 567-9933,Collier,phone,,,
,JOHNSON & SONS PLUMBING LLC,(941) 879-6430,Sarasota,phone,,,
,"PICARD & SONS PLUMBING, LLC",(941) 773-1039,Manatee,phone,,,
,FARRELL AIR CONDITIONING INC.,(727) 607-6953,Pasco,phone,,,
,FARRELL PLUMBING INC.,(727) 607-6953,Pasco,phone,,,
,FLOW PROS LLC,(727) 265-9639,Pinellas,phone,,,
