tier,company_name,trade,ownership_type,county,city,zip,address,phone,website,google_rating,google_reviews,services,license_types,license_numbers,status,notes,match_source,google_place_id,google_url,ownership_confidence,parent_company_or_notes,active_license_count
"D — Priority county, needs phone research","EMERGENCY PLUMBING AND DRAIN SERVICES, INC.",Plumbing,Independent / Likely Family-Owned (unverified),Pasco,New Port Richey,34652,"4210 Marine Parkway, New Port Richey, FL, 34652",,emergencyplumbinganddrainservices.com,4.8,222,"Plumber, Bathroom remodeler",CFC,CFC1430395,new,,companies.json (fuzzy_1.00),ChIJ_ZfqES2PwogRXN1G1NW0YZI,https://www.google.com/maps/search/?api=1&query=Emergency%20Plumbing%20%26%20Drain%20Services&query_place_id=ChIJ_ZfqES2PwogRXN1G1NW0YZI,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research","ABLE PLUMBING, INC",Plumbing,Independent / Likely Family-Owned (unverified),Palm Beach,Largo,33777,"9908 Sago Point Drive, Largo, FL, 33777",,,4.9,183,Plumber,CFC,CFC026561; CFC044142; CFC1433460,new,,companies.json (exact_name),ChIJ7UU8iavlwogRoEYwAfo-hz0,https://www.google.com/maps/search/?api=1&query=Able%20Plumbing%2C%20Inc&query_place_id=ChIJ7UU8iavlwogRoEYwAfo-hz0,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,3
"D — Priority county, needs phone research",FIRST CHOICE HVAC LLC,HVAC,Independent / Likely Family-Owned (unverified),Miami-Dade,Hialeah,33015,"6990 Nw 168Th St, Hialeah, FL, 33015",,,4.7,61,Plumber,CAC,CAC1825035,new,,companies.json (exact_name),ChIJJeQObWOJOIgRaYDsh41XKoY,https://www.google.com/maps/search/?api=1&query=First%20Choice%20Plumbing&query_place_id=ChIJJeQObWOJOIgRaYDsh41XKoY,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",FIRST CHOICE PLUMBING FL CORPORATION,Plumbing,Independent / Likely Family-Owned (unverified),Broward,Pompano Beach,33060,"1434 Se 3Rd Street, Pompano Beach, FL, 33060",,,4.7,61,Plumber,CFC,CFC1434642,new,,companies.json (exact_name),ChIJJeQObWOJOIgRaYDsh41XKoY,https://www.google.com/maps/search/?api=1&query=First%20Choice%20Plumbing&query_place_id=ChIJJeQObWOJOIgRaYDsh41XKoY,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",PRESTIA PLUMBING INC,Plumbing,Independent / Likely Family-Owned (unverified),Sarasota,Sarasota,34230,"Po Box 49933, Sarasota, FL, 34230",,prestia-plumbingfl.com,4,26,"Plumber, Service establishment",CFC,CFC1425701,new,,companies.json (exact_name),ChIJz-fP-WxAw4gRTFk1SQZJojU,https://www.google.com/maps/search/?api=1&query=Prestia%20Plumbing&query_place_id=ChIJz-fP-WxAw4gRTFk1SQZJojU,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",BASSOLINO PLUMBING INC.,Plumbing,Independent / Likely Family-Owned (unverified),St. Lucie,Port St. Lucie,34953,"661 Sw Bacon Terrace, Port St. Lucie, FL, 34953",,,5,5,Plumber,CFC,CFC1429157,new,,companies.json (exact_name),ChIJq6rG0v7r3ogRzbWxhh5Xi3M,https://www.google.com/maps/search/?api=1&query=Bassolino%20Plumbing&query_place_id=ChIJq6rG0v7r3ogRzbWxhh5Xi3M,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",GISLER PLUMBING LLC,Plumbing,Independent / Likely Family-Owned (unverified),Pinellas,St Pete,33707,"6701 Bougainvilla Ave S, St Pete, FL, 33707",,,5,5,Plumber,CFC,CFC1427402,new,,companies.json (exact_name),ChIJq6p3R8ziwogRLubwUy1hgU8,https://www.google.com/maps/search/?api=1&query=Gisler%20Plumbing&query_place_id=ChIJq6p3R8ziwogRLubwUy1hgU8,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",AIR KING CORPORATION,HVAC,Independent / Likely Family-Owned (unverified),Palm Beach,West Palm Bch,33414,"14965 Oatland Court, West Palm Bch, FL, 33414",,,5,1,,CAC,CAC024330,new,,companies.json (exact_name),ChIJFzLrSber3IgRDcPR-YWZLT8,https://www.google.com/maps/search/?api=1&query=Plumbing%20King&query_place_id=ChIJFzLrSber3IgRDcPR-YWZLT8,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",KING AIR,HVAC,Independent / Likely Family-Owned (unverified),St. Lucie,Port Saint Lucie,34953,"1812 Sw Import Dr., Port Saint Lucie, FL, 34953",,,5,1,,CAC,CAC1823094,new,,companies.json (exact_name),ChIJFzLrSber3IgRDcPR-YWZLT8,https://www.google.com/maps/search/?api=1&query=Plumbing%20King&query_place_id=ChIJFzLrSber3IgRDcPR-YWZLT8,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",'A' ROOTER INC.,Plumbing,Independent / Likely Family-Owned (unverified),Miami-Dade,Miami,33125,"1740 Nw North River Dr Apt 522, Miami, FL, 33125",,,,,,CFC,CFC1428587,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",'JUST CHILLIN' AIR CONDITIONING & REFRIGERATION LTD CO,HVAC,Independent / Likely Family-Owned (unverified),Lee,Fort Myers,33905,"4212 Ballard Rd, Fort Myers, FL, 33905",,,,,,CAC,CAC1815242,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",'THE' A/C GUY OF TAMPA BAY INC,HVAC,Independent / Likely Family-Owned (unverified),Pinellas,Dunedin,34698,"3185 Sharpe Lane, Dunedin, FL, 34698",,,,,,CAC,CAC1816265; CAC1825073,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,2
"D — Priority county, needs phone research",'THE' AIRBOSS,HVAC,Independent / Likely Family-Owned (unverified),Hillsborough,Valrico,33594,"3909 Whisper Grove Court, Valrico, FL, 33594",,,,,,CAC,CAC1814401,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",(THE) DRAIN KING OF CENTRAL FLORIDA INC,Plumbing,Independent / Likely Family-Owned (unverified),Hillsborough,Tampa,33615,"10208  Sable Ridge Ct, Tampa, FL, 33615",,,,,,CFC,CFC1427837,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",(THE) LAZARUS GROUP INC,Plumbing,Independent / Likely Family-Owned (unverified),Martin,Palm City,34990,"6504 Sw 39Th St, Palm City, FL, 34990",,,,,,CFC,CFC1427887,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research","1 2 3 AIR CONDITIONING, LLC",Mechanical,Independent / Likely Family-Owned (unverified),Miami-Dade,Miami,33174,"20 Sw 103 Rd Ave, Miami, FL, 33174",,,,,,CMC,CMC1251514,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research","1 A BACKFLOW AND SERVICES, LLC",Plumbing,Independent / Likely Family-Owned (unverified),Miami-Dade,Key Biscayne,33149,"104 Crandon Boulevard Suite 420, Key Biscayne, FL, 33149",,,,,,CFC,CFC1429608,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1 ON AIR,HVAC,Independent / Likely Family-Owned (unverified),Miami-Dade,Miami,33144,"1311 Sw 73 Pl, Miami, FL, 33144",,,,,,CAC,CAC1824486,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1 ST CLASS PLUMBING OF SOUTH FLORIDA INC,Plumbing,Independent / Likely Family-Owned (unverified),Broward,Hollywood,33023,"420 S 62Nd Ave, Hollywood, FL, 33023",,,,,,CFC,CFC1431259,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1 STOP GAS SERVICE INC.,Plumbing,Independent / Likely Family-Owned (unverified),Broward,Pembroke Pines,33023,"6840 Sw 12Th St, Pembroke Pines, FL, 33023",,,,,,CFC,CFC1432419,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1 TOM PLUMBER OF TAMPA BAY,Plumbing,Independent / Likely Family-Owned (unverified),Pasco,New Port Richey,34654,"9320 Mango St, New Port Richey, FL, 34654",,,,,,CFC,CFC1433508,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1-800-PLUMBER & AIR OF CLEARWATER,Plumbing + HVAC,Independent / Likely Family-Owned (unverified),Manatee,Bradenton,34212,"625 148Th Court Ne, Bradenton, FL, 34212",,,,,,"CAC, CFC",CAC1823615; CFC1430430,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,2
"D — Priority county, needs phone research",1-800-PLUMBER +AIR OF WEST PALM BEACH,Plumbing + HVAC,Independent / Likely Family-Owned (unverified),Manatee,Bradenton,34211,"1767 Lakewood Ranch Blvd Suite 179, Bradenton, FL, 34211",,,,,,"CAC, CFC",CAC1818762; CFC1429631,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,2
"D — Priority county, needs phone research",1-TOM-PLUMBER OF SARASOTA,Plumbing,Independent / Likely Family-Owned (unverified),Pinellas,St. Petersburg,33704,"1015 28Th Ave N, St. Petersburg, FL, 33704",,,,,,CFC,CFC1433214,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",1-TOM-PLUMBER OF SW FLORIDA,Plumbing,Independent / Likely Family-Owned (unverified),Lee,Cape Coral,33904,"1432 Se 31St Street, Cape Coral, FL, 33904",,,,,,CFC,CFC1433132,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
"D — Priority county, needs phone research",100% PLUMBING ORLANDO INC.,Plumbing,Independent / Likely Family-Owned (unverified),Palm Beach,West Palm Beach,33412,"12417 Key Lime Blvd, West Palm Beach, FL, 33412",,,,,,CFC,CFC1434610,new,,,,,Unverified,No confirmed PE/public/franchise match; most FL contractors are independently owned — ownership not verified,1
